cheese,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Aarewasser,cow,Switzerland,NA,NA,semi-soft,NA,NA,buttery,washed,yellow,sweet,buttery,FALSE,FALSE,Jumi
Abbaye de Belloc,sheep,France,Pays Basque,NA,"semi-hard, artisan",NA,NA,"creamy, dense, firm",natural,yellow,burnt caramel,lanoline,TRUE,FALSE,NA
Abbaye de Belval,cow,France,NA,NA,semi-hard,40-46%,NA,elastic,washed,ivory,NA,aromatic,FALSE,FALSE,NA
Abbaye de Citeaux,cow,France,Burgundy,NA,"semi-soft, artisan, brined",NA,NA,"creamy, dense, smooth",washed,white,"acidic, milky, smooth","barnyardy, earthy",FALSE,FALSE,NA
Abbaye de Tamié,cow,France,Savoie,NA,"soft, artisan",NA,NA,"creamy, open, smooth",washed,white,"fruity, nutty","perfumed, pungent",FALSE,FALSE,NA
Abbaye de Timadeuc,cow,France,province of Brittany,NA,semi-hard,NA,NA,soft,washed,pale yellow,"salty, smooth",nutty,FALSE,FALSE,Abbaye Cistercienne NOTRE-DAME DE TIMADEUC
Abbaye du Mont des Cats,cow,France,Nord-Pas-de-Calais,NA,"semi-soft, artisan, brined",50%,NA,"smooth, supple",washed,pale yellow,"milky, salty",floral,FALSE,FALSE,Abbaye du Mont des Cats
Abbot’s Gold,cow,"England, Great Britain, United Kingdom",North Yorkshire,Cheddar,semi-hard,NA,NA,"creamy, crumbly, dense, semi firm",natural,pale yellow,"mild, sweet, tangy",aromatic,TRUE,FALSE,Wensleydale Creamery
Abertam,sheep,Czech Republic,Karlovy Vary,NA,"hard, artisan",45%,NA,firm,natural,pale yellow,"acidic, strong, tangy",NA,FALSE,FALSE,NA
Abondance,cow,France,NA,NA,"semi-hard, artisan",NA,NA,creamy,natural,pale yellow,nutty,"buttery, fruity",FALSE,FALSE,NA
Acapella,goat,United States,California,NA,"soft, soft-ripened",NA,NA,,NA,NA,buttery,"fresh, herbal",FALSE,FALSE,NA
